name,sunday_open,sunday_close,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,phone,rating,price,category,address,website,id
b'Graze',09:30:00,15:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,(608) 251-2700,4.0,2,American (New),"1 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/graze-madison,1
b'Graft',17:00:00,21:00:00,00:00:00,00:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,(608) 229-8800,4.5,3,American (New);Wine Bars;Cocktail Bars,"18 N Carroll St, Madison, WI 53703",https://www.yelp.com/biz/graft-madison,2
b'Pig in a Fur Coat',00:00:00,00:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:30:00,16:00:00,23:00:00,16:00:00,23:00:00,(608) 316-3300,4.5,3,American (New);Mediterranean;Comfort Food,"940 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/pig-in-a-fur-coat-madison,3
b'Heritage Tavern',09:30:00,14:00:00,16:00:00,00:30:00,16:00:00,00:30:00,16:00:00,00:30:00,16:00:00,00:30:00,16:00:00,01:00:00,09:30:00,01:00:00,(608) 283-9500,4.5,3,American (New);Gastropubs;Breakfast & Brunch,"131 E Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/heritage-tavern-madison,4
b'Nook',00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,(608) 852-7894,5.0,4,American (New),"2138 Atwood Ave, Madison, WI 53704",https://www.yelp.com/biz/nook-madison-2,5
"b""DarkHorse by Sal's""",16:30:00,21:00:00,00:00:00,00:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,(608) 305-8885,4.5,2,Pizza;Cocktail Bars;Seafood,"10 N Livingston St, Madison, WI 53703",https://www.yelp.com/biz/darkhorse-by-sals-madison,6
b'The Old Fashioned',09:00:00,22:30:00,07:30:00,22:30:00,07:30:00,00:00:00,07:30:00,01:00:00,07:30:00,01:00:00,07:30:00,01:30:00,09:00:00,01:30:00,(608) 310-4545,4.0,2,American (Traditional);Breakfast & Brunch;Beer Bar,"23 N Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/the-old-fashioned-madison,7
b'Fairchild',00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,No phone number available,4.5,0,Seafood,"2611 Monroe St, Madison, WI 53711",https://www.yelp.com/biz/fairchild-madison,8
b'North and South Seafood & Smokehouse',11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 829-0093,4.5,2,Seafood;Smokehouse,"6604 Mineral Point Rd, Madison, WI 53705",https://www.yelp.com/biz/north-and-south-seafood-and-smokehouse-madison,9
b'Mr.Kimchi Modern Korean',11:00:00,22:00:00,00:00:00,00:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 665-3020,4.5,2,Korean,"225 King St, Madison, WI 53703",https://www.yelp.com/biz/mr-kimchi-modern-korean-madison,10
