name (double check that excel did not mess up formats),"sunday_open (hh:mm, for all times)","sunday_close (hh:mm, for all times)","monday_open (hh:mm, for all times)","monday_close (hh:mm, for all times)","tuesday_open (hh:mm, for all times)","tuesday_close (hh:mm, for all times)","wednesday_open (hh:mm, for all times)","wednesday_close (hh:mm, for all times)","thursday_open (hh:mm, for all times)","thursday_close (hh:mm, for all times)","friday_open (hh:mm, for all times)","friday_close (hh:mm, for all times)","saturday_open (hh:mm, for all times)","saturday_close (hh:mm, for all times)","phone (9 digit string, unless just 0",rating (1 decimal double),price (int),category,address (no # symbol included),website (if none enter No website)
Graft,17:00,21:00,00:00,00:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,6082298800,4.5,3,American (New);Wine Bars;Cocktail Bars,"18 N Carroll St, Madison, WI 53703",https://www.yelp.com/biz/graft-madison
Graze,09:30,15:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,6082512700,4.0,2,American (New),"1 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/graze-madison
Heritage Tavern,09:30,14:00,16:00,00:30,16:00,00:30,16:00,00:30,16:00,00:30,16:00,01:00,09:30,01:00,6082839500,4.5,3,American (New);Gastropubs;Breakfast & Brunch,"131 E Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/heritage-tavern-madison
The Old Fashioned,09:00,22:30,07:30,22:30,07:30,00:00,07:30,01:00,07:30,01:00,07:30,01:30,09:00,01:30,6083104545,4.0,2,American (Traditional);Breakfast & Brunch;Beer Bar,"23 N Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/the-old-fashioned-madison
DarkHorse by Sal's,16:30,21:00,00:00,00:00,16:30,22:00,16:30,22:00,16:30,22:00,16:30,22:00,16:30,22:00,6083058885,4.5,2,Pizza;Cocktail Bars;Seafood,"10 N Livingston St, Madison, WI 53703",https://www.yelp.com/biz/darkhorse-by-sals-madison
Ruyi Hand Pulled Noodle,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,22:00,11:00,22:00,6082987669,4.5,0,Chinese;Noodles,"334 State St, Madison, WI 53703",https://www.yelp.com/biz/ruyi-hand-pulled-noodle-madison
The Audrey Kitchen + Bar,07:00,23:00,06:30,00:00,06:30,00:00,06:30,00:00,06:30,00:00,06:30,02:00,07:00,02:00,6082550165,4.0,2,American (New),"9 E Wilson St, Madison, WI 53703",https://www.yelp.com/biz/the-audrey-kitchen-bar-madison
Pig in a Fur Coat,00:00,00:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:30,16:00,23:00,16:00,23:00,6083163300,4.5,3,American (New);Mediterranean;Comfort Food,"940 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/pig-in-a-fur-coat-madison
Dotty Dumpling's Dowry,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,6082590000,4.0,2,Burgers;Vegan;Vegetarian,"317 N Frances St, Madison, WI 53703",https://www.yelp.com/biz/dotty-dumplings-dowry-madison
Paul's Pel'meni,11:00,21:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,03:00,11:00,03:00,11:00,03:00,6084673234,4.5,1,Russian;Asian Fusion,"414 W Gilman St, Madison, WI 53703",https://www.yelp.com/biz/pauls-pelmeni-madison
