name,sunday_open,sunday_close,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,phone,rating,price,category,address,website,id
b'Graze',09:30:00,15:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,(608) 251-2700,4.0,2,American (New),"1 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/graze-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8735
b'Heritage Tavern',09:30:00,14:00:00,16:00:00,00:30:00,16:00:00,00:30:00,16:00:00,00:30:00,16:00:00,00:30:00,16:00:00,01:00:00,09:30:00,01:00:00,(608) 283-9500,4.5,3,American (New);Gastropubs;Breakfast & Brunch,"131 E Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/heritage-tavern-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8736
b'The Old Fashioned',09:00:00,22:30:00,07:30:00,22:30:00,07:30:00,00:00:00,07:30:00,01:00:00,07:30:00,01:00:00,07:30:00,01:30:00,09:00:00,01:30:00,(608) 310-4545,4.0,2,American (Traditional);Breakfast & Brunch;Beer Bar,"23 N Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/the-old-fashioned-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8737
b'Pig in a Fur Coat',00:00:00,00:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:30:00,16:00:00,23:00:00,16:00:00,23:00:00,(608) 316-3300,4.5,3,American (New);Mediterranean;Comfort Food,"940 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/pig-in-a-fur-coat-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8738
b'Nook',00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,(608) 852-7894,5.0,4,American (New),"2138 Atwood Ave, Madison, WI 53704",https://www.yelp.com/biz/nook-madison-2?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8739
b'Graft',17:00:00,21:00:00,00:00:00,00:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,(608) 229-8800,4.5,3,American (New);Wine Bars;Cocktail Bars,"18 N Carroll St, Madison, WI 53703",https://www.yelp.com/biz/graft-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8740
b'Ruyi Hand Pulled Noodle',11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 298-7669,4.5,0,Chinese;Noodles,"334 State St, Madison, WI 53703",https://www.yelp.com/biz/ruyi-hand-pulled-noodle-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8741
"b""Paul's Pel'meni""",11:00:00,21:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,03:00:00,11:00:00,03:00:00,11:00:00,03:00:00,(608) 467-3234,4.5,1,Russian;Asian Fusion,"414 W Gilman St, Madison, WI 53703",https://www.yelp.com/biz/pauls-pelmeni-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8742
b'Fairchild',00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,No phone number available,4.5,0,Seafood,"2611 Monroe St, Madison, WI 53711",https://www.yelp.com/biz/fairchild-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8743
"b""Dotty Dumpling's Dowry""",11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,(608) 259-0000,4.0,2,Burgers;Vegan;Vegetarian,"317 N Frances St, Madison, WI 53703",https://www.yelp.com/biz/dotty-dumplings-dowry-madison?adjust_creative=UIIt6xKJNCf5Y02-4ssYEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=UIIt6xKJNCf5Y02-4ssYEA,8744
